Yıl,Ay,Nüfus,İş Gücü,İstihdam,İşsiz,İş Gücüne Dahil Değil,İşgücüne Katılım Oranı,İstihdam Oranı,İşsizlik Oranı
2005,Ocak,11515,4044,3245,798,7472,35.1,28.2,19.7
2005,Şubat,11513,3663,2976,687,7850,31.8,25.8,18.8
2005,Mart,11512,3812,3112,699,7700,33.1,27.0,18.3
2005,Nisan,11510,4132,3435,697,7378,35.9,29.8,16.9
2005,Mayıs,11509,4127,3479,648,7382,35.9,30.2,15.7
2005,Haziran,11507,4154,3490,664,7353,36.1,30.3,16.0
2005,Temmuz,11506,4469,3719,750,7037,38.8,32.3,16.8
2005,Ağustos,11504,4505,3808,697,6999,39.2,33.1,15.5
2005,Eylül,11503,4191,3505,686,7312,36.4,30.5,16.4
2005,Ekim,11501,4155,3471,685,7346,36.1,30.2,16.5
2005,Kasım,11500,4221,3510,711,7279,36.7,30.5,16.8
2005,Aralık,11498,4046,3323,723,7452,35.2,28.9,17.9
2006,Ocak,11496,3996,3183,813,7500,34.8,27.7,20.3
2006,Şubat,11493,3713,3070,643,7780,32.3,26.7,17.3
2006,Mart,11490,3803,3100,703,7687,33.1,27.0,18.5
2006,Nisan,11487,4101,3498,604,7386,35.7,30.4,14.7
2006,Mayıs,11484,3946,3412,534,7539,34.4,29.7,13.5
2006,Haziran,11481,4058,3497,560,7424,35.3,30.5,13.8
2006,Temmuz,11479,4486,3786,700,6993,39.1,33.0,15.6
2006,Ağustos,11476,4298,3671,627,7178,37.5,32.0,14.6
2006,Eylül,11473,4247,3598,648,7226,37.0,31.4,15.3
2006,Ekim,11470,4168,3500,668,7302,36.3,30.5,16.0
2006,Kasım,11467,4196,3528,668,7271,36.6,30.8,15.9
2006,Aralık,11464,4132,3439,693,7332,36.0,30.0,16.8
2007,Ocak,11460,3945,3180,765,7514,34.4,27.7,19.4
2007,Şubat,11454,3766,3153,613,7688,32.9,27.5,16.3
2007,Mart,11449,3941,3236,705,7508,34.4,28.3,17.9
2007,Nisan,11444,3972,3325,647,7472,34.7,29.1,16.3
2007,Mayıs,11439,4031,3450,580,7408,35.2,30.2,14.4
2007,Haziran,11433,4209,3573,636,7225,36.8,31.3,15.1
2007,Temmuz,11428,4546,3737,809,6882,39.8,32.7,17.8
2007,Ağustos,11423,4421,3730,691,7001,38.7,32.7,15.6
2007,Eylül,11417,4259,3537,722,7158,37.3,31.0,17.0
2007,Ekim,11412,4225,3480,745,7188,37.0,30.5,17.6
2007,Kasım,11407,3929,3253,676,7478,34.4,28.5,17.2
2007,Aralık,11402,3998,3282,716,7403,35.1,28.8,17.9
2008,Ocak,11395,3956,3188,768,7439,34.7,28.0,19.4
2008,Şubat,11387,3772,3077,696,7615,33.1,27.0,18.4
2008,Mart,11380,4092,3319,773,7288,36.0,29.2,18.9
2008,Nisan,11372,3954,3390,565,7418,34.8,29.8,14.3
2008,Mayıs,11364,4050,3486,564,7315,35.6,30.7,13.9
2008,Haziran,11357,4257,3570,687,7099,37.5,31.4,16.1
2008,Temmuz,11349,4530,3751,779,6819,39.9,33.1,17.2
2008,Ağustos,11341,4383,3659,724,6959,38.6,32.3,16.5
2008,Eylül,11333,4269,3487,782,7065,37.7,30.8,18.3
2008,Ekim,11326,4274,3405,869,7052,37.7,30.1,20.3
2008,Kasım,11318,4182,3334,848,7136,36.9,29.5,20.3
2008,Aralık,11310,4145,3171,974,7165,36.6,28.0,23.5
2009,Ocak,11328,3907,2933,973,7421,34.5,25.9,24.9
2009,Şubat,11317,3858,2860,997,7460,34.1,25.3,25.9
2009,Mart,11324,3955,2954,1001,7369,34.9,26.1,25.3
2009,Nisan,11331,4084,3104,980,7247,36.0,27.4,24.0
2009,Mayıs,11338,3998,3108,890,7339,35.3,27.4,22.3
2009,Haziran,11345,4422,3458,964,6922,39.0,30.5,21.8
2009,Temmuz,11352,4707,3745,962,6645,41.5,33.0,20.4
2009,Ağustos,11359,4635,3680,955,6724,40.8,32.4,20.6
2009,Eylül,11366,4599,3578,1021,6767,40.5,31.5,22.2
2009,Ekim,11373,4336,3394,942,7036,38.1,29.8,21.7
2009,Kasım,11380,4205,3300,906,7174,37.0,29.0,21.5
2009,Aralık,11387,4225,3215,1010,7162,37.1,28.2,23.9
2010,Ocak,11392,3974,3046,927,7418,34.9,26.7,23.3
2010,Şubat,11395,4007,3010,997,7389,35.2,26.4,24.9
2010,Mart,11395,4134,3240,894,7261,36.3,28.4,21.6
2010,Nisan,11402,4161,3371,790,7241,36.5,29.6,19.0
2010,Mayıs,11405,4199,3468,731,7206,36.8,30.4,17.4
2010,Haziran,11409,4349,3570,779,7059,38.1,31.3,17.9
2010,Temmuz,11412,4740,3899,841,6672,41.5,34.2,17.7
2010,Ağustos,11416,4612,3764,848,6803,40.4,33.0,18.4
2010,Eylül,11419,4391,3437,953,7029,38.4,30.1,21.7
2010,Ekim,11422,4320,3554,766,7102,37.8,31.1,17.7
2010,Kasım,11426,4210,3436,774,7215,36.9,30.1,18.4
2010,Aralık,11429,4111,3259,851,7319,36.0,28.5,20.7
2011,Ocak,11431,3991,3215,777,7440,34.9,28.1,19.5
2011,Şubat,11432,4150,3370,780,7282,36.3,29.5,18.8
2011,Mart,11433,4159,3445,715,7273,36.4,30.1,17.2
2011,Nisan,11433,4178,3515,663,7255,36.5,30.7,15.9
2011,Mayıs,11434,4371,3689,682,7063,38.2,32.3,15.6
2011,Haziran,11434,4423,3703,720,7011,38.7,32.4,16.3
2011,Temmuz,11435,4791,4008,784,6644,41.9,35.0,16.4
2011,Ağustos,11436,4760,3992,768,6676,41.6,34.9,16.1
2011,Eylül,11436,4553,3770,783,6883,39.8,33.0,17.2
2011,Ekim,11437,4399,3779,620,7038,38.5,33.0,14.1
2011,Kasım,11438,4177,3536,641,7261,36.5,30.9,15.3
2011,Aralık,11438,4208,3533,676,7230,36.8,30.9,16.1
2012,Ocak,11441,3935,3286,650,7506,34.4,28.7,16.5
